Qobs,site_no,W_mean,D_mean,(W/D)mean,Stage_mean,Qbank,W_bank,D_bank,(W/D)bank,Stage_bank,VI_summer,VI_winter,VI_spring,CAT_EVI_JFM_2012,DAM_density,Pop_density,StreamOrde,DrainageArEa,AI,D50_mm,Mean Elev,Slope,Ludev,Luforest,Luagri,Mean Discharge,Siltmean,Sand mean,Claymean,RatingCurve_Coeff,RatingCurve_Expo
5.776740671,3439000,24.1566192,0.8049768,30.01,0.728472,27.49034685,23.7143544,1.2411456,19.11,1.283208,0.24,0.49,0.49,0.22,2,143.01,4,178.5087,1.417675,1.849166,66290,0.00224637,26.3,67.41,4.31,7.046579295,37.8,34.23,27.99,0.371514261,0.510075865
249.2910919,2080500,177.2079768,3.0638496,57.84,1.749552,580.0865736,183.8364624,3.991356,46.06,2.508504,0.23,0.32,0.37,0.2,458,458.32,7,21943.3734,0.80752,1.7666136,1500,0.00049354,47.58,7.53,13.53,246.7139515,29.27,48.59,22.14,0.147474491,0.544631716
24.15321185,5440000,45.3143112,0.9790176,46.29,2.023872,131.051854,55.5760128,1.9571208,28.4,3.218688,0.23,0.37,0.42,0.16,10,40.12,5,2843.7453,0.8026,1.3346521,21410,1.00E-05,6.29,25.79,62.68,27.37962815,62.49,6.71,30.8,0.229385721,0.686163219
12.12899201,2083000,30.7296312,1.4944344,20.56,1.56972,76.25887242,36.5101632,4.0535352,9.01,4.386072,0.3,0.46,0.55,0.27,11,2.58,5,1373.5098,0.82902,0.12714036,2473,0.00031461,6.03,3.79,23.12,14.88976684,34.05,42.88,23.08,1.007843235,0.182338094
225.5801318,12422500,108.8763888,3.5408616,30.75,6.480048,53.40792193,60.3028512,2.0720304,29.1,5.559552,0.17,0.21,0.22,0.12,33,1844.27,7,10358.6058,0.357944444,1.0025766,52229,0.00946645,96.57,1.11,0.02,185.2365908,37.18,55.59,7.23,0.158177399,0.577661154
17.07797595,7382000,48.7673904,2.061972,23.65,3.572256,18.68147144,45.1405752,2.0354544,22.18,3.877056,0.31,0.5,0.49,0.25,4,4.14,4,644.6664,1.019833333,0.38972658,1630,1.00E-05,2.81,59.8,7.32,13.37340214,51.9,15.45,32.65,1.280077186,0.242832236
7.154806109,1019000,23.618952,1.316736,17.94,0.682752,40.26943597,35.1339912,1.7093184,20.55,1.426464,0.3,0.38,0.55,0.3,2.85,8.54,5,580.1967,1.165914286,0.14515048,6189,0.00720794,7.03,78.96,0.23,11.08599927,55.97,36.07,7.96,0.281185708,0.655198182
12.34839058,5487980,22.0218,0.725424,30.36,2.538984,432.7389726,47.641764,5.5126128,8.64,8.302752,0.21,0.43,0.43,0.14,56,2.59,4,881.1495,0.80235,0.7229321,24068,0.00101555,8.23,15.26,63.72,6.774653055,57.38,10.05,32.57,0.628619176,0.421411809
7.484725157,2424000,43.6446168,0.784204756,55.65,0.292608,7.484725157,43.6446168,0.784204756,55.65,0.292608,0.28,0.42,0.39,0.23,84,190.66,6,2659.4631,0.95912,1.5633798,5894,1.00E-05,39.31,34.39,13.14,47.13385328,37.99,32.6,29.41,0.778153832,0.359158729
24.81421093,6904010,31.842456,1.533144,20.77,7.046976,34.99625297,30.934152,1.871472,16.53,7.540752,0.21,0.38,0.42,0.15,101,1.71,5,1920.663,0.724775,3.5932353,25004,0.00134887,2.27,8.24,78.85,16.3320831,64.01,9.04,26.95,0.91681323,0.271499675
8.782738998,1518700,34.1729568,0.827532,41.3,2.295144,118.0810602,63.3984,1.563624,40.55,3.819144,0.28,0.43,0.52,0.22,10,47.33,5,1149.8715,0.80245,0.503238,30148,0.0024323,17.72,45.72,31.54,15.04916211,55.48,30.56,13.96,0.39097089,0.349514114
11.30103706,3042500,32.6355456,0.783336,41.66,1.042416,87.7820831,41.148,1.694688,24.28,2.264664,0.23,0.47,0.52,0.21,7,80.97,5,445.0176,0.967757143,0.108262256,30561,1.00E-05,11.33,59.38,24.59,8.363423809,50.77,28.18,21.05,0.468207516,0.371841881
308.6531309,3320000,109.4232,9.857232,11.1,3.959352,1237.444204,146.9136,7.8354936,18.75,6.047232,0.21,0.39,0.39,0.19,149,346.36,7,18460.1133,0.875666667,2.0522308,10867,0.00075158,36.97,18.87,28.14,335.7026984,55,8.21,36.78,0.039959646,0.948144511
97.97613146,2146000,157.5816,2.8584144,55.13,1.408176,708.113542,175.455072,3.194304,54.93,3.099816,0.2,0.37,0.38,0.17,274,51.98,6,7886.0718,0.7972,7.0252767,15091,1.00E-05,58.63,26.07,4.36,121.7973571,35.83,28.17,36,0.098607228,0.678863874
13.29822104,1127500,21.101304,0.7738872,27.27,1.143,48.2019347,22.8731064,1.631033162,14.02,1.959864,0.24,0.44,0.51,0.18,12,243.06,3,235.7325,1.09978,0.30855,2636,0.00225183,41.73,53.19,1.1,5.233397894,41.7,53.09,5.21,0.473425734,0.484533603
1804.801922,6895500,327.306432,4.489704,72.9,4.197096,6150.546514,325.761096,9.390888,34.69,8.65632,0.11,0.26,0.29,0.09,17044,43.53,9,1183713.896,0.6961,0.7181636,19928,0.0001899,8.69,10.52,40.79,1810.85124,62.06,10.56,27.33,0.873546393,0.233099356
