site_no,Visummer,VI winter,Vispring,VI fall,StreamOrde,DrainageArea,D50_mm,AI,Ludev,Luforest,Luagri,Mean Elev,Slope,Mean discharge,CAT_SILTAVE,CAT_CLAYAVE,CAT_SANDAVE,Pred Wbank,Pred D bank,Pred W mean,Pred D mean,Soil erodib factor,Rainfall,HydraulicCOnductivity,Permeability,Rating Curve Coeff,RatingCurve Exponent
8276500,0.09,0.12,0.12,0.09,6,16756.5141,6.256184,0.16432,2.42,6.91,0,184301,0.00263711,44.77262852,45.13,26.56,28.31,71.023674,1.6168941,60.07432,1.2599335,0.2068,338.8195902,22.0764,6.947490473,0.184961043,0.615246058
2061500,0.32,0.5,0.49,0.26,5,815.1615,0.24669528,0.80845,8.34,10.83,71.67,16747,0.0033853,10.27843243,54.48,29.94,15.58,35.80084,2.049376,30.177935,1.1953791,0.41,1080.617065,0.2504,4.79,0.775994649,0.329055967
9242500,0.16,0.27,0.22,0,5,1161.315,2.3351858,0.3721,5,8.5,64,200581,0.00279699,15.28147314,47.23,33.87,18.9,36.7612,1.3918347,21.920193,0.77937436,0.29,544.8861783,2.4769,1.47,0.3064501,0.45056982
8095200,0.29,0.34,0.26,0.33,4,3053.4939,0.8042803,0.451736364,6.96,24.72,14.32,15579,0.00080842,7.423306016,46.5,38.53,14.97,32.360714,2.401236,23.24139,0.95212954,0.3152,900.558622,13.3224,2.185938422,0.558254639,0.433070295
3443000,0.26,0.45,0.5,0.23,5,768.2508,3.1639032,1.1264,17.92,28.88,47.21,63350,1.00E-05,30.10795193,37.02,29.94,33.04,48.132217,2.3897383,41.072563,1.9161556,0.2423,1406.279259,0.0253,6.39,0.757773294,0.365315238
4266500,0.22,0.33,0.51,0.2,5,1879.389,0.12304234,1.22432,2.89,76.88,0,45592,0.00039953,42.75471664,19.58,3.06,77.36,55.539085,2.0170093,52.267258,1.3007509,0.1943,1106.216551,0.8656,36.48685132,0.443569305,0.44856977
7184000,0.23,0.41,0.38,0.21,3,509.8329,2.2970338,0.6822,4.4,22.64,63.96,25026,0.00161971,5.484143166,52.57,38.71,8.72,33.734917,2.1918638,40.860455,1.0306574,0.3315,1123.654452,142.5067,2.465164835,1.240410876,0.08911015
1350180,0.25,0.42,0.48,0.24,3,928.1097,0.26611117,0.955833333,3.4,76.68,6.48,24114,0.01167402,11.44185651,52.17,21.73,26.1,38.528492,1.8620343,38.942978,1.368999,0.348,1005.242048,0.1693,5.657729854,0.297797615,0.420787987
8385522,0.12,0.13,0.14,0.1,5,14366.3598,1.5516095,0.16806,1.38,0,3.87,118902,0.00107422,6.751914664,30.51,26.46,43.02,34.437992,1.4811226,25.825794,1.1248821,0.3058,377.0265525,5.4615,5.736178382,0.4861588,0.446474046
2196000,0.25,0.48,0.42,0.22,5,1409.3955,0.19732688,0.76445,5.59,59.78,0,6304,0.00316083,12.22560893,41.74,40.62,17.64,35.957825,1.8057319,31.331717,1.9819871,0.3154,1137.004483,0.1953,3.396107527,0.401435903,0.690073572
3333700,0.24,0.32,0.38,0.21,4,640.6389,1.415838,0.853916667,62.18,1.94,30.68,22894,0.00332687,7.405268214,50.2,25.74,24.06,30.744436,1.4396752,29.275396,0.70758563,0.368,1046.58372,0.0535,2.074808087,0.500119112,0.546870736
